Room_URI,Room,Capacity,Institute,Approval Mode,Availability,Building,Address,Room Number
/events/roomSchedule.xhtml?windowId=ae2&roomCode=BAU1_ZID,Seminarraum BD 02,70,E307,via TISS,Verfügbar,Hoftrakt,"Getreidemarkt 9, Bauteil BD Hoftrakt, 2.OG",BD02B33
/events/roomSchedule.xhtml?windowId=ae2&roomCode=SEM+BD+02C,Seminarraum BD 02C,20,E308,via TISS,Verfügbar,Hoftrakt,"Getreidemarkt 9, Bauteil BD Hoftrakt,2.OG",BD02G28
/events/roomSchedule.xhtml?windowId=ae2&roomCode=307A,Seminarraum BD 03,28,E307,via TISS,Verfügbar,Hoftrakt,"Getreidemarkt 9, Bauteil BD Hoftrakt, 3.OG",BD03G28
/events/roomSchedule.xhtml?windowId=ae2&roomCode=SEMBE02,Seminarraum BE 01,25,E317,persönlich,Verfügbar,Lückenbau,"Getreidemarkt 9, Bauteil BE Lückenbau, 1.OG",BE0108
/events/roomSchedule.xhtml?windowId=ae2&roomCode=166S-5,Seminarraum BH 03 Biotechnologie,10,E166,via TISS,Verfügbar,Institutsgebäude,"Gumpendorfer Str. 1a, Bauteil BH Gumpendorferstr., EG",BH03E06
/events/roomSchedule.xhtml?windowId=ae2&roomCode=1665,Seminarraum BH Biosciences,25,E166,via TISS,Verfügbar,Institutsgebäude,"Gumpendorfer Str. 1a, Bauteil BH Gumpendorferstr., EG",BHEGD16
/events/roomSchedule.xhtml?windowId=ae2&roomCode=F311,Seminarraum Funke Halle,30,,persönlich,Verfügbar,Aspanggründe,"Adolf Blamauerg. 1-3,",MBEG28
/events/roomSchedule.xhtml?windowId=ae2&roomCode=SEMG,Seminarraum Gödel,30,E184,via TISS,Verfügbar,Institutsgebäude,"Favoritenstr. 9-11, EG, Zugang vom Innenhof",HBEG10
/events/roomSchedule.xhtml?windowId=ae2&roomCode=IEM,Seminarraum IEMAR,25,E259,persönlich,Verfügbar,Institutsgebäude,"Treitlstraße 3, 1.Stock, gerade",DE0102
/events/roomSchedule.xhtml?windowId=ae2&roomCode=SEM+IFM,Seminarraum IFM (EDV Raum),16,E330,persönlich,Verfügbar,Institutsgebäude,"Treitlstraße 3, Bauteil DE, Dachgeschoss",DEDG66
/events/roomSchedule.xhtml?windowId=ae2&roomCode=Lehar+01,Seminarraum Lehar 01,20,E165,via TISS,Verfügbar,Lehartrakt,"Getreidemarkt 9, Bauteil BC Lehartrakt, 1.OG",BC01A46
/events/roomSchedule.xhtml?windowId=ae2&roomCode=Lehar+02,Seminarraum Lehar 02,20,E165,via TISS,Verfügbar,Lehartrakt,"Getreidemarkt 9, Bauteil BC Lehartrakt, 2.OG",BC02A46
/events/roomSchedule.xhtml?windowId=ae2&roomCode=1633,Seminarraum Lehar 03,20,E163,via TISS,Verfügbar,Lehartrakt,"Getreidemarkt 9, Bauteil BC Lehartrakt, 3.OG",BC03A46
/events/roomSchedule.xhtml?windowId=ae2&roomCode=LeharEG,Seminarraum Lehar EG,18,E164,via TISS,Verfügbar,Lehartrakt,"Getreidemarkt 9, Bauteil BC Lehartrakt, EG",BCEGA36
/events/roomSchedule.xhtml?windowId=ae2&roomCode=SETI,Seminarraum Techn. Informatik,30,E183,via TISS,Verfügbar,Institutsgebäude,"Treitlstraße 3, Zugang über Operngasse 9 (Erdgeschoß)",DEEG39
/events/roomSchedule.xhtml?windowId=ae2&roomCode=WB02A01,Seminarraum W1,60,E280,via TISS,Verfügbar bis 30.06.18 00:00,Alte Wirtschaftsuniversität Wien (WUW),"Augasse 2-6, WU 2.OG",WB 02 A01
/events/roomSchedule.xhtml?windowId=ae2&roomCode=WD02A21,Seminarraum W15,60,E280,via TISS,Verfügbar bis 30.06.18 00:00,Alte Wirtschaftsuniversität Wien (WUW),"Augasse 2-6, WU 2.OG",WD 02 A21
/events/roomSchedule.xhtml?windowId=ae2&roomCode=WDEG09,Seminarraum W92,100,E280,via TISS,Verfügbar bis 30.06.18 00:00,Alte Wirtschaftsuniversität Wien (WUW),"Augasse 2-6, WU EG",WD EG G09
/events/roomSchedule.xhtml?windowId=ae2&roomCode=ZEMS,Seminarraum Zemanek,40,E195,via TISS,Verfügbar,Institutsgebäude,"Favoritenstr. 9-11, hellgrüner Bereich, Stiege 3",HHEG01
